invoice_month,account_id,subscription,service,resource_group,resource_id,region,usage_qty,unit_cost,cost
2025-05,acct-6155,sub-39,AI,rg-teacher,res-11e40ac7,ukwest,135.8915,0.9897,134.4918
2025-06,acct-3940,sub-25,DB,rg-worry,res-b6dd5ef0,eastus,90.1392,0.8851,79.7822
2025-06,acct-9487,sub-39,DB,rg-design,res-77fc7e94,indiawest,313.9172,1.146,359.7491
2025-07,acct-8966,sub-9,Compute,rg-way,res-b9bd1a1f,centralus,196.6934,1.2993,255.5637
2025-08,acct-3425,sub-48,Compute,rg-current,res-78e972be,ukwest,81.802,1.4984,122.5721
2025-07,acct-8725,sub-28,DB,rg-church,res-9734c06f,westus,29.6661,2.6075,77.3544
2025-06,acct-6641,sub-50,Compute,rg-teach,res-5fdacc92,ukwest,12.0479,2.3819,28.6969
2025-08,acct-1572,sub-17,AI,rg-him,res-2d32dab4,indiawest,235.9415,2.1629,510.3179
2025-09,acct-9383,sub-15,Storage,rg-everybody,res-84df0404,eastus,70.9126,4.5374,321.7588
2025-06,acct-6635,sub-49,AI,rg-quality,res-ff6d266a,westus,193.9297,3.7815,733.3452
2025-08,acct-8019,sub-7,AI,rg-bill,res-70f54f05,indiawest,260.7196,4.4797,1167.9456
2025-09,acct-7661,sub-25,AI,rg-represent,res-83668b1a,centralus,354.0546,1.4015,496.2075
2025-07,acct-1956,sub-30,Compute,rg-power,res-0c0dbf23,indiawest,125.3185,1.2071,151.272
2025-07,acct-8779,sub-18,Compute,rg-security,res-b0ab20be,ukwest,499.7869,2.3419,1170.4509
2025-06,acct-1390,sub-47,Storage,rg-born,res-b0904af8,eastus,492.5875,1.0391,511.8477
2025-08,acct-4556,sub-19,DB,rg-partner,res-1baf5473,westus,141.9182,3.7854,537.2172
2025-07,acct-2115,sub-15,Storage,rg-bank,res-a0ae656a,indiawest,448.265,0.1448,64.9088
2025-06,acct-1468,sub-49,Compute,rg-tree,res-1c728193,indiawest,203.1246,0.2261,45.9265
2025-07,acct-3187,sub-33,AI,rg-whole,res-56870b70,ukwest,438.6311,3.3417,1465.7735
2025-08,acct-4443,sub-3,AI,rg-shake,res-433536ed,centralus,146.3509,0.4768,69.7801
2025-08,acct-9651,sub-41,AI,rg-successful,res-c41cbcc0,centralus,403.818,2.5164,1016.1676
2025-07,acct-8986,sub-3,Compute,rg-stuff,res-e394d79e,indiawest,364.7217,1.7303,631.078
2025-09,acct-3854,sub-30,AI,rg-window,res-997f9274,westus,359.6388,4.0655,1462.1115
2025-07,acct-1247,sub-3,Storage,rg-first,res-e559876b,ukwest,387.4436,0.1102,42.6963
2025-06,acct-6786,sub-28,Compute,rg-size,res-f7da2999,eastus,18.7305,0.927,17.3632
2025-06,acct-2065,sub-37,Compute,rg-movement,res-63961e34,westus,250.7791,0.0719,18.031
2025-08,acct-8637,sub-28,AI,rg-her,res-b8dd0ae2,eastus,236.7135,1.1965,283.2277
2025-06,acct-8005,sub-39,AI,rg-some,res-5785ebf6,centralus,327.619,4.8125,1576.6664
2025-08,acct-5513,sub-16,AI,rg-represent,res-43d068a2,ukwest,195.6186,1.621,317.0978
2025-05,acct-7291,sub-2,Networking,rg-service,res-d3af815b,indiawest,193.5354,0.9609,185.9682
2025-08,acct-2935,sub-37,DB,rg-sport,res-4276916b,indiawest,430.9472,0.0918,39.561
2025-07,acct-2168,sub-34,Storage,rg-anything,res-644e6394,westus,223.3819,3.1721,708.5897
2025-09,acct-6113,sub-43,DB,rg-material,res-94d18fa9,centralus,17.8593,2.9585,52.8367
2025-06,acct-7306,sub-22,DB,rg-send,res-d3766e80,westus,293.4608,4.7267,1387.1012
2025-07,acct-8824,sub-49,Networking,rg-leader,res-c4fad343,ukwest,487.3578,2.0787,1013.0707
2025-07,acct-5983,sub-50,DB,rg-watch,res-2037ae93,centralus,154.3728,2.3252,358.9476
2025-05,acct-2684,sub-13,Storage,rg-worker,res-d01d8e21,ukwest,438.0278,4.3329,1897.9307
2025-06,acct-7100,sub-38,Storage,rg-focus,res-a8385a88,ukwest,159.9229,4.0097,641.2429
2025-06,acct-6921,sub-1,AI,rg-interest,res-cb3847b2,indiawest,80.0948,2.9657,237.5371
2025-06,acct-3092,sub-3,AI,rg-consumer,res-a25874c2,westus,357.5187,4.7023,1681.1602
2025-06,acct-3343,sub-30,Compute,rg-available,res-d9f84233,ukwest,343.4231,4.8699,1672.4362
2025-06,acct-1941,sub-35,AI,rg-success,res-1425e9ed,indiawest,399.7938,0.3981,159.1579
2025-06,acct-5613,sub-42,AI,rg-first,res-ec53e445,westus,155.7699,2.6326,410.0798
2025-08,acct-2760,sub-19,Storage,rg-morning,res-d23c6354,ukwest,369.1981,0.0847,31.2711
2025-08,acct-4660,sub-45,DB,rg-Congress,res-acec2627,centralus,14.319,4.6607,66.7366
2025-08,acct-8711,sub-32,Networking,rg-affect,res-bc90cda9,westus,262.2665,3.1982,838.7807
2025-07,acct-3252,sub-24,Networking,rg-size,res-a7811219,westus,18.3181,1.5607,28.5891
2025-06,acct-7336,sub-39,Networking,rg-approach,res-ff6d266a,centralus,342.7742,3.0921,1059.8921
2025-07,acct-3236,sub-14,AI,rg-customer,res-8c526afb,indiawest,9.343,1.6895,15.785
2025-09,acct-6688,sub-38,Networking,rg-several,res-b7f78250,eastus,271.7479,2.5233,685.7015
2025-09,acct-9093,sub-49,DB,rg-service,res-0d1faa0e,westus,394.8374,3.0369,1199.0817
2025-06,acct-6708,sub-18,Compute,rg-type,res-f3b6e5af,eastus,414.7576,4.9231,2041.8931
2025-07,acct-2646,sub-39,Compute,rg-safe,res-500663ee,eastus,70.0993,0.7578,53.1212
2025-07,acct-7385,sub-36,Storage,rg-marriage,res-380397d7,indiawest,150.8106,1.3397,202.041
2025-07,acct-1858,sub-18,Networking,rg-trade,res-c0800be2,indiawest,51.4829,3.5781,184.211
2025-07,acct-8585,sub-9,Compute,rg-office,res-cff4e9a2,centralus,490.3684,1.2962,635.6155
2025-08,acct-5622,sub-17,DB,rg-ready,res-bfc957a6,centralus,28.006,4.1956,117.502
2025-07,acct-7912,sub-47,Networking,rg-certain,res-b321d92f,eastus,152.7783,2.6159,399.6528
2025-06,acct-8398,sub-48,Compute,rg-point,res-1676a042,ukwest,90.7558,0.9573,86.8805
2025-08,acct-1947,sub-35,AI,rg-owner,res-bb618c36,centralus,448.6807,2.7465,1232.3015
2025-08,acct-5996,sub-43,Compute,rg-air,res-c124d9eb,eastus,365.7222,4.518,1652.3329
2025-08,acct-7368,sub-22,Networking,rg-who,res-644ad10d,eastus,390.8069,0.0825,32.2416
2025-08,acct-8352,sub-24,Networking,rg-away,res-b0540786,indiawest,3.4906,4.4387,15.4937
2025-08,acct-3632,sub-10,AI,rg-consumer,res-92042155,westus,67.213,2.3911,160.713
2025-06,acct-5455,sub-9,DB,rg-indicate,res-9d2ea79c,ukwest,75.7031,2.1452,162.3983
2025-05,acct-9302,sub-18,Networking,rg-mission,res-525e1b0b,centralus,167.9001,1.7018,285.7324
2025-06,acct-9183,sub-45,Storage,rg-know,res-59fa0157,westus,316.2159,1.8987,600.3991
2025-08,acct-1926,sub-8,Compute,rg-social,res-88e4ccfc,westus,349.3318,1.3205,461.2926
2025-05,acct-8678,sub-47,Compute,rg-many,res-f381d0ac,centralus,334.8571,0.2867,96.0035
2025-08,acct-1236,sub-23,DB,rg-war,res-da0d9e91,centralus,75.5846,0.8521,64.4056
2025-09,acct-8481,sub-45,Compute,rg-evening,res-1d5b2998,eastus,41.8268,2.2877,95.6872
2025-09,acct-3197,sub-26,AI,rg-prepare,res-29812148,ukwest,361.0781,3.3058,1193.652
2025-08,acct-2766,sub-31,Storage,rg-might,res-4a81cbb9,ukwest,175.6633,0.0913,16.0381
2025-08,acct-9216,sub-40,DB,rg-word,res-97b22b0e,centralus,453.2518,2.0454,927.0812
2025-07,acct-6388,sub-7,AI,rg-per,res-c83cc3df,indiawest,332.1426,1.2558,417.1047
2025-05,acct-5060,sub-38,DB,rg-theory,res-6caf42b6,indiawest,379.8799,0.6434,244.4147
2025-06,acct-4505,sub-26,DB,rg-hospital,res-ca8a082d,eastus,43.621,0.2068,9.0208
2025-08,acct-6717,sub-42,AI,rg-gun,res-a08da585,ukwest,110.7851,4.2651,472.5095
2025-07,acct-7319,sub-17,Storage,rg-people,res-6421e6ae,eastus,92.6084,2.1058,195.0148
2025-07,acct-5597,sub-18,Networking,rg-father,res-d8de8c93,indiawest,284.4889,3.0667,872.4421
2025-07,acct-4911,sub-12,Compute,rg-event,res-500663ee,centralus,428.083,4.8799,2089.0022
2025-08,acct-6405,sub-28,Networking,rg-race,res-0898981d,indiawest,434.3206,3.7517,1629.4406
2025-06,acct-4861,sub-14,Networking,rg-herself,res-1351c591,centralus,57.365,4.0304,231.2039
2025-08,acct-9418,sub-5,DB,rg-may,res-3a4e5a48,centralus,469.5101,2.1698,1018.743
2025-06,acct-2695,sub-10,Compute,rg-across,res-d8f3f3e4,westus,82.5626,1.1003,90.8436
2025-06,acct-3156,sub-21,DB,rg-institution,res-db1a9704,westus,238.6338,3.5419,845.2171
2025-08,acct-8032,sub-25,DB,rg-simple,res-e5dee615,westus,468.335,0.1206,56.4812
2025-06,acct-6239,sub-47,Networking,rg-least,res-ccd2287c,westus,34.1934,0.6543,22.3727
2025-06,acct-7186,sub-39,AI,rg-listen,res-822fe7a8,westus,354.1272,2.1387,757.3718
2025-05,acct-1049,sub-49,Storage,rg-child,res-a6eb1ed6,ukwest,447.0357,4.5713,2043.5343
2025-06,acct-7242,sub-2,DB,rg-accept,res-4413dc1e,indiawest,323.5414,1.0316,333.7653
2025-06,acct-5838,sub-5,Storage,rg-eat,res-5b9568ff,indiawest,278.7849,2.4019,669.6135
2025-07,acct-5348,sub-32,Networking,rg-crime,res-22d589b5,ukwest,154.8078,0.0212,3.2819
2025-07,acct-6273,sub-46,Storage,rg-lead,res-9ec238d8,westus,247.6773,0.1307,32.3714
2025-06,acct-6298,sub-15,Storage,rg-author,res-5def61c8,centralus,78.9734,0.8371,66.1086
2025-07,acct-8624,sub-19,AI,rg-pass,res-5def61c8,eastus,220.5576,4.1369,912.4247
2025-07,acct-6192,sub-39,AI,rg-glass,res-a1882fca,centralus,407.458,3.0128,1227.5895
2025-07,acct-6877,sub-37,Compute,rg-with,res-38be4d04,centralus,203.7085,4.7176,961.0152
2025-09,acct-5453,sub-38,DB,rg-late,res-29fda980,indiawest,35.8653,4.5656,163.7466
2025-06,acct-2388,sub-3,Compute,rg-garden,res-2340f258,eastus,213.6076,0.3516,75.1044
2025-07,acct-6901,sub-24,AI,rg-clearly,res-1989ca11,centralus,79.4474,1.2791,101.6212
2025-06,acct-2355,sub-44,Compute,rg-or,res-10398d19,westus,322.943,0.8714,281.4125
2025-06,acct-5092,sub-11,Networking,rg-go,res-d85ae4dc,westus,156.0083,2.5889,403.8899
2025-07,acct-2372,sub-7,AI,rg-western,res-c09d9df0,westus,432.8311,2.4587,1064.2018
2025-07,acct-2357,sub-33,Networking,rg-or,res-e49fa8b5,eastus,372.3447,1.0058,374.5043
2025-06,acct-3306,sub-20,DB,rg-drop,res-922ee0e3,indiawest,256.5989,2.0567,527.747
2025-07,acct-7921,sub-14,Networking,rg-mission,res-e49fa8b5,centralus,113.6649,3.6676,416.8774
2025-05,acct-4749,sub-29,Storage,rg-school,res-4d259d80,eastus,79.174,2.4778,196.1773
2025-05,acct-6978,sub-34,AI,rg-program,res-8f1c77be,ukwest,204.74,3.7892,775.8008
2025-07,acct-9036,sub-28,Networking,rg-throw,res-efa93a1b,centralus,266.0078,0.255,67.832
2025-06,acct-7905,sub-45,AI,rg-wide,res-4f88440d,eastus,454.868,4.0196,1828.3874
2025-08,acct-7479,sub-2,Compute,rg-owner,res-bc56b43d,westus,102.6896,3.5882,368.4708
2025-07,acct-1485,sub-31,DB,rg-about,res-e3574e70,indiawest,479.8285,0.7564,362.9423
2025-06,acct-5907,sub-16,Networking,rg-call,res-90461808,centralus,296.578,1.0096,299.4251
2025-06,acct-3659,sub-37,DB,rg-industry,res-90ffef2d,indiawest,43.7226,1.3222,57.81
2025-06,acct-4584,sub-15,AI,rg-through,res-5fe2169f,ukwest,341.0507,4.5278,1544.2094
2025-08,acct-3798,sub-22,Storage,rg-travel,res-4fedc9dd,ukwest,174.4179,2.084,363.4869
2025-08,acct-2126,sub-37,AI,rg-affect,res-94d18fa9,indiawest,345.5491,0.8765,302.8738
2025-08,acct-6683,sub-33,Storage,rg-individual,res-038f0f0b,eastus,60.3291,3.8906,234.7164
2025-06,acct-6502,sub-35,Compute,rg-marriage,res-1676a042,westus,455.0119,1.3392,609.3519
2025-06,acct-1822,sub-3,AI,rg-at,res-fb3dc127,indiawest,7.9952,3.8688,30.9318
2025-08,acct-3793,sub-30,Networking,rg-challenge,res-99324c3f,centralus,233.206,0.2733,63.7352
2025-05,acct-9100,sub-35,DB,rg-usually,res-9465a6a8,westus,220.2116,3.6219,797.5844
2025-07,acct-9556,sub-43,Networking,rg-have,res-11ecd3d1,indiawest,119.7073,1.9774,236.7092
2025-08,acct-3347,sub-36,AI,rg-friend,res-4b570329,indiawest,347.6339,3.6298,1261.8415
2025-08,acct-6908,sub-31,Storage,rg-thousand,res-1f69b4c4,westus,80.3965,0.5943,47.7796
2025-05,acct-6126,sub-27,DB,rg-collection,res-cbfa70dc,eastus,11.8894,3.3448,39.7677
2025-07,acct-6413,sub-37,Networking,rg-evidence,res-c83cc3df,westus,383.4908,1.3816,529.8309
2025-05,acct-5667,sub-47,Compute,rg-career,res-f7da2999,westus,3.2425,2.6204,8.4966
2025-05,acct-4328,sub-25,AI,rg-dog,res-c487673f,centralus,231.0789,2.1238,490.7654
2025-06,acct-6507,sub-19,AI,rg-economic,res-a9ff3c50,eastus,410.8635,2.9077,1194.6678
2025-08,acct-3156,sub-45,DB,rg-voice,res-c6e3b8ce,ukwest,53.0546,2.6739,141.8627
2025-06,acct-2130,sub-2,Compute,rg-try,res-cd92cf83,indiawest,179.6654,4.4585,801.0382
2025-09,acct-2014,sub-47,Networking,rg-brother,res-a4b4ca98,indiawest,497.7022,0.3892,193.7057
2025-07,acct-8733,sub-38,AI,rg-always,res-c12da015,ukwest,115.0908,0.8294,95.4563
2025-05,acct-8750,sub-17,Compute,rg-none,res-e260e087,eastus,24.724,4.3677,107.987
2025-07,acct-2145,sub-2,Compute,rg-quite,res-eabb6639,indiawest,94.4982,0.9427,89.0835
2025-05,acct-1551,sub-46,Compute,rg-toward,res-25ed07ef,eastus,258.5777,3.0912,799.3154
2025-07,acct-9912,sub-39,Storage,rg-through,res-244fe9c0,indiawest,227.1962,1.7613,400.1607
2025-09,acct-2304,sub-14,Networking,rg-among,res-ac5b1860,westus,430.8478,0.9563,412.0198
2025-07,acct-2706,sub-7,DB,rg-eye,res-5fe7d3e8,eastus,427.8616,4.1407,1771.6465
2025-08,acct-7627,sub-26,Networking,rg-reduce,res-5caaee88,indiawest,202.4216,3.4691,702.2208
2025-06,acct-1147,sub-33,Compute,rg-catch,res-fec6362c,westus,301.8434,3.1138,939.88
2025-06,acct-8496,sub-7,Networking,rg-interest,res-ad812fe5,westus,20.5964,2.013,41.4606
2025-08,acct-5971,sub-7,AI,rg-wonder,res-36241573,centralus,45.3601,0.2167,9.8295
2025-08,acct-2723,sub-30,DB,rg-everybody,res-6c9251c6,eastus,345.6936,0.6693,231.3727
2025-08,acct-2556,sub-4,Storage,rg-carry,res-37aa8412,ukwest,250.8941,1.9857,498.2004
2025-07,acct-6374,sub-25,DB,rg-full,res-ba7a142e,ukwest,24.051,1.9804,47.6306
2025-05,acct-2732,sub-7,DB,rg-interview,res-a4b4ca98,westus,323.695,3.9901,1291.5754
2025-06,acct-1865,sub-30,Networking,rg-rate,res-c8b20796,indiawest,52.9593,0.8163,43.2307
